category,gender,name,model_num,size,amount,link
bag,E,Pocket Arm Band Plus,pocket-arm-band,free,5,https://www.nike.com/t/pocket-arm-band-plus-8kZwkQ/N0001245-082
bottom,E,Nike Dri-FIT Academy,nike-dri-fit-academy-s,S,2,https://www.nike.com/t/dri-fit-academy-mens-dri-fit-soccer-shorts-nwP0Hq/DV9742-410
bottom,E,Nike Dri-FIT Academy,nike-dri-fit-academy-m,M,2,https://www.nike.com/t/dri-fit-academy-mens-dri-fit-soccer-shorts-nwP0Hq/DV9742-410
bottom,E,Nike Dri-FIT Academy,nike-dri-fit-academy-l,L,3,https://www.nike.com/t/dri-fit-academy-mens-dri-fit-soccer-shorts-nwP0Hq/DV9742-410
bottom,E,Nike Dri-FIT Academy,nike-dri-fit-academy-xl,XL,2,https://www.nike.com/t/dri-fit-academy-mens-dri-fit-soccer-shorts-nwP0Hq/DV9742-410
top,F,Nike Dri-FIT,f-nike-dri-fit-xxl,XXL,3,https://www.nike.com/t/dri-fit-womens-t-shirt-PDStdZ/DX0687-629
top,F,Nike Dri-FIT,f-nike-dri-fit-xl,XL,3,https://www.nike.com/t/dri-fit-womens-t-shirt-PDStdZ/DX0687-629
top,F,Nike Dri-FIT,f-nike-dri-fit-l,L,3,https://www.nike.com/t/dri-fit-womens-t-shirt-PDStdZ/DX0687-629
top,F,Nike Dri-FIT,f-nike-dri-fit-m,M,3,https://www.nike.com/t/dri-fit-womens-t-shirt-PDStdZ/DX0687-629
top,F,Nike Dri-FIT,f-nike-dri-fit-s,S,3,https://www.nike.com/t/dri-fit-womens-t-shirt-PDStdZ/DX0687-629
top,F,Nike Dri-FIT,f-nike-dri-fit-xs,XS,3,https://www.nike.com/t/dri-fit-womens-t-shirt-PDStdZ/DX0687-629
bottom,F,Nike Sportswear Ever,f-nike-sportswear-ever-xxl,XXL,4,https://www.nike.com/t/sportswear-everything-wovens-womens-mid-rise-5-shorts-NS8qKZ/FV6622-370
bottom,F,Nike Sportswear Ever,f-nike-sportswear-ever-xl,XL,2,https://www.nike.com/t/sportswear-everything-wovens-womens-mid-rise-5-shorts-NS8qKZ/FV6622-370
bottom,F,Nike Sportswear Ever,f-nike-sportswear-ever-l,L,3,https://www.nike.com/t/sportswear-everything-wovens-womens-mid-rise-5-shorts-NS8qKZ/FV6622-370
bottom,F,Nike Sportswear Ever,f-nike-sportswear-ever-m,M,4,https://www.nike.com/t/sportswear-everything-wovens-womens-mid-rise-5-shorts-NS8qKZ/FV6622-370
bottom,F,Nike Sportswear Ever,f-nike-sportswear-ever-s,S,5,https://www.nike.com/t/sportswear-everything-wovens-womens-mid-rise-5-shorts-NS8qKZ/FV6622-370
bottom,F,Nike Sportswear Ever,f-nike-sportswear-ever-xs,XS,2,https://www.nike.com/t/sportswear-everything-wovens-womens-mid-rise-5-shorts-NS8qKZ/FV6622-370
bottom,M,Nike Dri-FIT Academy,m-nike-dri-fit-academy-xxl,XXL,3,https://www.nike.com/t/dri-fit-academy-mens-dri-fit-soccer-shorts-nwP0Hq/DV9742-410
bottom,M,Nike Dri-FIT Academy,m-nike-dri-fit-academy-xl,XL,4,https://www.nike.com/t/dri-fit-academy-mens-dri-fit-soccer-shorts-nwP0Hq/DV9742-410
bottom,M,Nike Dri-FIT Academy,m-nike-dri-fit-academy-l,L,2,https://www.nike.com/t/dri-fit-academy-mens-dri-fit-soccer-shorts-nwP0Hq/DV9742-410
bottom,M,Nike Dri-FIT Academy,m-nike-dri-fit-academy-m,M,3,https://www.nike.com/t/dri-fit-academy-mens-dri-fit-soccer-shorts-nwP0Hq/DV9742-410
bottom,M,Nike Dri-FIT Academy,m-nike-dri-fit-academy-s,S,4,https://www.nike.com/t/dri-fit-academy-mens-dri-fit-soccer-shorts-nwP0Hq/DV9742-410
bottom,M,Nike Dri-FIT Academy,m-nike-dri-fit-academy-xs,XS,2,https://www.nike.com/t/dri-fit-academy-mens-dri-fit-soccer-shorts-nwP0Hq/DV9742-410
top,M,Nike Dri-FIT Legend,m-nike-dri-fit-legend-xxl,XXL,3,https://www.nike.com/t/dri-fit-legend-mens-fitness-t-shirt-JmKL0d/DX0989-302
top,M,Nike Dri-FIT Legend,m-nike-dri-fit-legend-xl,XL,4,https://www.nike.com/t/dri-fit-legend-mens-fitness-t-shirt-JmKL0d/DX0989-302
top,M,Nike Dri-FIT Legend,m-nike-dri-fit-legend-l,L,2,https://www.nike.com/t/dri-fit-legend-mens-fitness-t-shirt-JmKL0d/DX0989-302
top,M,Nike Dri-FIT Legend,m-nike-dri-fit-legend-m,M,4,https://www.nike.com/t/dri-fit-legend-mens-fitness-t-shirt-JmKL0d/DX0989-302
top,M,Nike Dri-FIT Legend,m-nike-dri-fit-legend-s,S,3,https://www.nike.com/t/dri-fit-legend-mens-fitness-t-shirt-JmKL0d/DX0989-302
top,M,Nike Dri-FIT Legend,m-nike-dri-fit-legend-xs,XS,4,https://www.nike.com/t/dri-fit-legend-mens-fitness-t-shirt-JmKL0d/DX0989-302
shoes,E,Nike Revolution 7,nike-revolution-7-220,220,3,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-225,225,2,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-230,230,4,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-235,235,3,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-240,240,5,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-245,245,3,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-250,250,2,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-255,255,3,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-260,260,1,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-265,265,2,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-270,270,4,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-275,275,3,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
bag,E,Nike Fanny Pack,nike-fanny-pack,free,3,https://www.nike.com/t/fanny-pack-99LbLR/N1000512-013